Year;Pollution_display;Total_a;Total_b;Total_c
6318;162;0;115;0
6319;158;1;111;0
6320;161;0;115;0
6321;158;0;112;0
6322;154;0;108;0
6323;153;1;107;0
6324;148;0;103;0
6325;151;0;105;0
6326;159;0;113;0
6327;158;0;112;0
6328;155;0;109;0
6329;158;1;112;0
6330;147;0;102;0
6331;158;0;113;0
6332;154;0;109;0
6333;153;1;107;0
6334;151;0;106;0
6335;158;0;113;0
6336;155;0;110;0
6337;165;0;120;0
6338;159;0;114;0
6339;149;1;104;0
6340;144;0;99;0
6341;148;0;103;0
6342;160;0;115;0
6343;154;0;109;0
6344;146;0;101;0
6345;161;1;116;0
6346;160;0;115;0
6347;159;0;114;0
6348;154;0;109;0
6349;156;0;111;0
6350;153;0;108;0
6351;155;1;110;0
6352;159;0;114;0
6353;155;0;110;0
6354;150;0;105;0
6355;157;1;112;0
6356;153;0;109;0
6357;159;0;114;1
6358;159;0;115;2
6359;152;1;110;2
6360;151;1;111;3
6361;148;1;110;3
6362;145;0;109;3
6363;144;0;109;4
6364;143;0;109;5
6365;143;1;110;5
6366;135;2;104;6
6367;137;0;108;6
6368;137;1;108;4
6369;135;0;106;3
6370;140;0;109;3
6371;144;0;112;3
6372;145;0;113;2
6373;144;0;111;3
6374;139;1;105;3
6375;142;1;109;2
6376;146;2;113;2
6377;142;0;109;1
6378;140;0;106;1
6379;147;0;111;1
6380;148;0;112;1
6381;152;0;115;1
6382;145;1;107;1
6383;144;0;107;1
6384;148;0;110;0
6385;151;0;112;0
6386;150;0;110;0
6387;153;0;112;0
6388;156;0;115;0
6389;156;0;114;0
6390;153;0;111;0
6391;155;0;112;0
6392;158;0;115;0
6393;158;0;114;0
6394;158;0;114;0
6395;157;0;113;0
6396;153;0;109;0
6397;157;0;112;0
6398;159;0;114;0
6399;156;0;111;0
6400;155;0;110;0
6401;160;1;115;0
6402;159;0;115;0
6403;152;0;107;0
6404;158;0;113;0
6405;153;0;108;0
6406;153;0;108;0
6407;155;0;110;0
6408;158;1;113;0
6409;153;0;108;0
6410;150;0;105;0
6411;153;0;108;0
6412;151;0;106;1
6413;157;0;113;1
6414;153;0;109;1
6415;152;0;109;1
6416;155;0;112;2
6417;149;0;108;4
6418;139;0;100;5
6419;139;0;103;6
6420;143;0;110;5
6421;140;0;108;5
6422;140;0;109;4
6423;136;0;105;4
6424;138;0;107;5
6425;139;0;108;5
6426;140;0;109;6
6427;140;0;110;6
6428;138;0;109;4
6429;139;0;109;3
6430;141;0;110;3
6431;145;1;113;2
6432;144;1;111;2
6433;142;0;109;3
6434;138;0;105;3
6435;146;0;113;1
6436;153;0;118;1
6437;151;0;115;1
6438;149;0;112;1
6439;149;0;112;0
6440;153;0;114;0
6441;151;0;111;0
6442;150;0;110;0
6443;155;1;114;0
6444;155;1;114;0
6445;151;1;110;0
6446;153;2;112;0
6447;147;0;107;0
6448;149;0;109;0
6449;145;0;104;1
6450;152;0;111;1
6451;156;0;115;1
6452;154;1;114;1
6453;153;1;113;0
6454;155;1;115;0
6455;155;0;115;0
6456;153;0;113;0
6457;152;0;111;0
6458;154;0;112;0
6459;153;0;111;0
6460;153;0;110;1
6461;151;0;109;1
6462;149;0;107;1
6463;149;0;108;2
6464;145;0;105;2
6465;148;0;109;2
6466;144;1;105;3
6467;145;0;108;3
6468;148;0;112;4
6469;147;0;113;4
6470;145;0;112;3
6471;145;0;111;3
6472;144;0;110;4
6473;141;0;108;4
6474;141;0;108;3
6475;145;0;112;3
6476;145;0;112;3
6477;148;0;115;3
6478;148;0;115;3
6479;144;0;110;2
6480;140;0;106;2
6481;142;1;107;2
6482;144;0;110;2
6483;147;0;112;1
6484;147;0;111;1
6485;153;0;116;1
6486;148;0;111;1
6487;152;0;114;1
6488;147;0;109;0
6489;152;2;113;0
6490;153;0;114;0
6491;156;0;116;0
6492;151;0;111;1
6493;155;1;115;1
6494;144;1;105;1
6495;152;1;113;1
6496;154;0;116;1
6497;151;0;113;1
6498;155;0;116;1
6499;151;0;112;1
6500;150;0;111;1
6501;157;0;118;1
6502;148;0;109;2
6503;152;0;113;1
6504;153;0;114;1
6505;154;1;115;1
6506;147;0;109;1
6507;152;0;113;2
6508;147;0;109;3
6509;146;0;109;3
6510;148;0;112;4
6511;148;0;113;4
6512;144;0;110;4
6513;136;0;103;3
6514;144;0;111;3
6515;140;1;107;3
6516;140;0;107;4
6517;142;0;110;5
6518;134;0;103;4
6519;137;0;105;3
6520;141;0;109;4
6521;138;0;106;4
6522;137;0;105;5
6523;141;0;110;6
6524;139;0;109;7
6525;134;0;105;8
6526;132;1;104;7
6527;133;0;106;7
6528;132;0;105;8
6529;132;0;106;9
6530;130;0;104;9
6531;131;0;106;9
6532;130;0;105;9
6533;128;0;103;10
6534;128;0;104;11
6535;121;0;97;12
6536;122;0;99;14
6537;123;0;102;14
6538;112;0;91;15
6539;115;0;95;17
6540;111;0;92;19
6541;111;0;93;20
6542;112;0;95;20
6543;107;0;90;22
6544;106;0;90;18
6545;113;0;96;16
6546;113;0;95;16
6547;112;0;93;17
6548;110;0;91;20
6549;104;0;87;25
6550;108;0;93;24
6551;94;0;79;26
6552;96;0;82;28
6553;99;0;86;30
6554;93;1;80;32
6555;89;1;77;34
6556;89;2;78;35
6557;83;1;73;35
6558;84;0;74;35
6559;88;0;77;36
6560;83;0;72;37
6561;86;0;76;36
6562;83;0;73;37
6563;84;0;74;40
6564;75;0;65;40
6565;79;0;70;48
6566;70;0;62;46
6567;70;1;62;50
6568;66;1;59;49
6569;66;1;59;48
6570;70;1;63;48
6571;68;1;61;49
6572;66;1;59;51
6573;65;2;58;54
6574;70;0;64;53
6575;62;0;55;58
6576;60;0;54;60
6577;49;0;43;70
6578;48;0;43;71
6579;43;0;39;76
6580;33;0;29;82
6581;24;0;21;96
6582;20;0;18;95
6583;19;0;17;99
6584;14;0;13;100
6585;1;0;0;118
6586;0;0;0;114
6587;0;0;0;113
6588;0;0;0;110
6589;0;0;0;110
6590;0;0;0;107
6591;0;0;0;114
6592;0;0;0;116
6593;0;0;0;107
6594;1;0;1;112
6595;0;0;0;101
6596;0;0;0;100
6597;0;0;0;111
6598;0;0;0;105
6599;0;0;0;115
6600;0;0;0;111
6601;0;0;0;112
6602;1;0;1;112
6603;2;0;2;108
6604;0;0;0;112
6605;0;0;0;111
6606;0;0;0;114
6607;1;1;1;110
6608;0;0;0;113
6609;0;0;0;110
6610;0;0;0;105
6611;1;0;1;108
6612;0;0;0;110
6613;0;0;0;107
6614;0;0;0;101
6615;0;0;0;119
6616;1;0;1;108
6617;0;0;0;111
6618;0;1;0;104
6619;0;1;0;117
6620;0;1;0;109
6621;0;2;0;107
6622;0;2;0;101
6623;0;2;0;114
6624;0;2;0;105
6625;0;2;0;114
6626;0;2;0;113
6627;0;2;0;108
6628;0;2;0;111
6629;1;1;1;111
6630;1;1;1;109
6631;1;0;1;110
6632;0;0;0;115
6633;1;0;1;112
6634;0;1;0;110
6635;0;1;0;110
6636;1;0;1;113
6637;0;0;0;113
6638;0;0;0;112
6639;0;0;0;113
6640;0;0;0;112
6641;0;0;0;113
6642;0;0;0;104
6643;0;0;0;117
6644;1;0;1;111
6645;0;0;0;112
6646;0;0;0;109
6647;0;0;0;107
6648;0;0;0;109
6649;0;0;0;107
6650;0;1;0;106
6651;0;0;0;116
6652;0;0;0;110
6653;0;0;0;108
6654;0;0;0;115
6655;0;0;0;107
6656;0;0;0;118
6657;0;0;0;112
6658;0;0;0;106
6659;0;0;0;114
6660;0;0;0;103
6661;0;0;0;103
6662;0;0;0;116
6663;0;0;0;115
6664;0;0;0;112
6665;0;0;0;108
6666;0;0;0;107
6667;0;0;0;119
6668;0;0;0;112
6669;0;0;0;112
6670;0;0;0;108
6671;0;0;0;111
6672;1;0;1;107
6673;0;0;0;105
6674;0;0;0;114
6675;0;0;0;114
6676;0;0;0;114
6677;0;0;0;112
6678;0;0;0;115
6679;0;0;0;107
6680;0;0;0;105
6681;0;0;0;105
6682;0;0;0;104
6683;0;0;0;102
6684;0;0;0;120
6685;0;1;0;117
6686;0;1;0;115
6687;0;1;0;111
6688;0;2;0;108
6689;0;2;0;110
6690;0;2;0;114
6691;0;2;0;115
6692;0;2;0;112
6693;0;2;0;116
6694;0;4;0;112
6695;0;5;0;108
6696;0;4;0;109
6697;0;4;0;112
6698;0;5;0;110
6699;0;5;0;109
6700;0;5;0;107
6701;0;7;0;104
6702;0;8;0;101
6703;0;9;0;104
6704;0;10;0;102
6705;0;9;0;106
6706;0;9;0;107
6707;0;9;0;103
6708;1;9;1;108
6709;0;4;0;112
6710;0;4;0;103
6711;0;5;0;107
6712;0;6;0;105
6713;1;6;1;106
6714;1;7;1;102
6715;0;3;0;107
6716;0;3;0;107
6717;0;4;0;108
6718;0;4;0;114
6719;0;3;0;111
6720;1;3;1;107
6721;0;3;0;110
6722;0;3;0;105
6723;0;3;0;105
6724;0;4;0;107
6725;0;2;0;108
6726;0;2;0;110
6727;0;2;0;110
6728;0;2;0;107
6729;0;2;0;113
6730;0;1;0;108
6731;0;1;0;111
6732;1;1;1;116
6733;0;0;0;110
6734;0;0;0;114
6735;0;0;0;114
6736;1;0;1;110
6737;0;0;0;112
6738;0;1;0;113
6739;0;1;0;108
6740;0;2;0;110
6741;0;3;0;104
6742;0;3;0;106
6743;0;3;0;103
6744;1;2;1;116
6745;0;1;0;117
6746;0;2;0;116
6747;0;3;0;113
6748;0;5;0;107
6749;0;5;0;108
6750;0;4;0;112
6751;0;3;0;108
6752;0;3;0;106
6753;0;4;0;107
6754;0;4;0;111
6755;0;5;0;106
6756;0;6;0;108
6757;0;7;0;100
6758;0;8;0;104
6759;0;7;0;105
6760;0;7;0;107
6761;0;9;0;103
6762;0;10;0;103
6763;0;11;0;104
6764;0;8;0;106
6765;0;9;0;101
6766;0;9;0;107
6767;0;9;0;106
6768;0;8;0;107
6769;0;10;0;101
6770;0;11;0;106
6771;0;11;0;104
6772;0;9;0;105
6773;0;8;0;106
6774;0;7;0;108
6775;0;7;0;106
6776;0;8;0;108
6777;0;8;0;106
6778;0;9;0;108
6779;0;9;0;101
6780;0;7;0;105
6781;0;5;0;111
6782;0;7;0;107
6783;0;8;0;109
6784;0;8;0;103
6785;1;9;1;106
6786;0;4;0;107
6787;0;5;0;110
6788;0;8;0;107
6789;0;12;0;94
6790;0;12;0;95
6791;0;16;0;97
6792;0;17;0;93
6793;0;20;0;94
